Date,Open,High,Low,Close,Adj Close,Volume
2022-02-14,298.369995,300.869995,286.309998,287.929993,284.544434,96707700
2022-02-21,285.000000,297.630005,271.519989,297.309998,294.421631,169083700
2022-02-28,294.309998,303.130005,287.170013,289.859985,287.043976,157389300
2022-03-07,288.529999,289.690002,270.000000,280.070007,277.349091,184358500
2022-03-14,280.339996,301.000000,275.820007,300.429993,297.511292,176939300
2022-03-21,298.890015,305.500000,294.899994,303.679993,300.729706,128717300
2022-03-28,304.329987,315.950012,304.329987,309.420013,306.414001,148667800
2022-04-04,310.089996,315.109985,296.279999,296.970001,294.084930,143329800
2022-04-11,291.790009,292.609985,279.320007,279.829987,277.111420,115664800
2022-04-18,278.910004,293.299988,273.380005,274.029999,271.367767,124842800
2022-04-25,273.290009,290.980011,270.000000,277.519989,274.823883,216395500
2022-05-02,277.709991,290.880005,271.269989,274.730011,272.060974,175769700
2022-05-09,270.059998,273.750000,250.020004,261.119995,258.583221,221997200
2022-05-16,259.959991,268.329987,246.440002,252.559998,250.106369,164627300
2022-05-23,255.490005,273.339996,253.429993,273.239990,271.215668,142680100
2022-05-30,272.529999,277.690002,261.600006,270.019989,268.019531,135187100
2022-06-06,272.059998,274.179993,252.529999,252.990005,251.115707,120495800
2022-06-13,245.110001,255.300003,241.509995,247.649994,245.815262,184153000
2022-06-20,250.259995,267.980011,249.509995,267.700012,265.716736,115652800
2022-06-27,268.209991,268.299988,252.899994,259.579987,257.656860,126549000
2022-07-04,256.160004,269.059998,254.740005,267.660004,265.677002,87284100
2022-07-11,265.649994,266.529999,245.940002,256.720001,254.818069,139698000
2022-07-18,259.750000,265.329987,253.300003,260.359985,258.431091,113061900
2022-07-25,261.000000,282.000000,249.570007,280.739990,278.660126,172010100
2022-08-01,277.820007,283.799988,272.380005,282.910004,280.814026,102686000
2022-08-08,284.049988,291.910004,277.609985,291.910004,289.747375,109517800
2022-08-15,291.000000,294.179993,285.559998,286.149994,284.030060,92198200
2022-08-22,282.079987,282.459991,267.980011,268.089996,266.668671,104858200
2022-08-29,265.850006,267.399994,254.470001,256.059998,254.702454,114016200
2022-09-05,256.200012,265.230011,251.940002,264.459991,263.057922,87859500
2022-09-12,265.779999,267.450012,242.059998,244.740005,243.442474,147336700
2022-09-19,242.470001,247.660004,235.199997,237.919998,236.658630,147350000
2022-09-26,237.050003,242.330002,232.729996,232.899994,231.665237,146921600
2022-10-03,235.410004,250.580002,233.169998,234.240005,232.998154,142125400
2022-10-10,233.050003,237.240005,219.130005,228.559998,227.348251,154871900
2022-10-17,235.820007,243.929993,234.289993,242.119995,240.836349,122568300
2022-10-24,243.759995,251.039993,225.779999,235.869995,234.619492,223302200
2022-10-31,233.759995,235.740005,213.429993,221.389999,220.216263,170779600
2022-11-07,221.990005,247.990005,221.279999,247.110001,245.799896,170431600
2022-11-14,241.990005,247.000000,237.630005,241.220001,239.941132,137343700
2022-11-21,241.429993,248.699997,240.710007,247.490005,246.871658,74769700
2022-11-28,246.080002,256.119995,238.210007,255.020004,254.382843,137898700
2022-12-05,252.009995,253.820007,242.210007,245.419998,244.806824,109602000
2022-12-12,247.449997,263.920013,243.509995,244.690002,244.078659,229935300
2022-12-19,244.860001,245.619995,233.869995,238.729996,238.133545,128396500
2022-12-26,238.699997,241.919998,234.169998,239.820007,239.220825,75847200
2023-01-02,243.080002,245.750000,219.350006,224.929993,224.368011,159546700
2023-01-09,226.449997,239.899994,226.410004,239.229996,238.632294,131660200
2023-01-16,237.970001,242.380005,230.679993,240.220001,239.619827,123806400
2023-01-23,241.100006,249.830002,230.899994,248.160004,247.539993,198630300
2023-01-30,244.509995,264.690002,242.199997,258.350006,257.704529,152671100
2023-02-06,257.440002,276.760010,254.779999,263.100006,262.442657,196181400
2023-02-13,267.640015,274.970001,266.179993,269.320007,268.647125,110601200
